TransectPoints.OBJECTID,TransectPoints.ForestType,TransectPoints.TransectID,TransectPoints.CoordX,TransectPoints.CoordY,TransectPoints.Permission
127,Forested,127,-75.79661759,41.63020206,Not Done
128,Forested,128,-76.50318124,41.74408869,Done
129,Forested,129,-76.64144256,41.77509393,Done
130,Forested,130,-77.74795414,41.94840019,Done
131,Forested,131,-76.98765866,41.84375801,Not Done
132,Forested,132,-77.543764,41.92884516,Done
133,Forested,133,-75.48540333,41.61307895,Not Done
134,Forested,134,-77.25483339,41.89322797,Not Done
135,Forested,135,-77.374076,41.96321166,Not Done
136,Forested,136,-76.12538342,41.78743515,Not Done
137,Forested,137,-75.68346997,41.72731841,Positive
138,Forested,138,-75.31228203,41.7002054,Done
139,Forested,139,-76.35623202,41.86937042,Not Done
140,Forested,140,-75.14782762,41.68312089,Not Done
141,Forested,141,-76.88938909,41.97353131,Not Done
142,Forested,142,-76.19014919,41.91924439,Done
143,Forested,143,-75.4028153,41.80061121,Done
144,Forested,144,-76.32639083,41.98970737,Done
145,Forested,145,-75.16900301,41.8052691,Done
146,Forested,146,-75.88394404,41.92711822,Not Done
147,Forested,147,-76.02536988,41.97902059,Not Done
148,Forested,148,-75.7431723,41.93439817,Done
149,Forested,149,-75.296435,41.90193105,Done
150,Forested,150,-75.42370585,41.98521381,Not Done
151,EarlySuccessional,151,-78.36046819,41.04935792,Done
152,EarlySuccessional,152,-78.48837194,41.09988189,Done
153,EarlySuccessional,153,-77.89200902,41.02549429,Not Done
154,EarlySuccessional,154,-78.47173252,41.16626101,Not Done
155,EarlySuccessional,155,-78.37397658,41.15266015,Done
156,EarlySuccessional,156,-78.68549385,41.20880265,Done
157,EarlySuccessional,157,-78.36121038,41.2032255,Not Done
158,EarlySuccessional,158,-78.13695131,41.18481284,Done
159,EarlySuccessional,159,-78.9661617,41.30246108,Done
160,EarlySuccessional,160,-79.04564003,41.31965868,Done
161,EarlySuccessional,161,-77.90856407,41.16539892,Done
162,EarlySuccessional,162,-78.26815232,41.22292718,Done
163,EarlySuccessional,163,-79.26295751,41.36814123,Not Done
164,EarlySuccessional,164,-79.45441267,41.39652185,Not Done
165,EarlySuccessional,165,-77.36059767,41.1052888,Done
166,EarlySuccessional,166,-77.27500991,41.09588176,Done
167,EarlySuccessional,167,-78.58257603,41.28624087,Done
168,EarlySuccessional,168,-79.14814346,41.36927083,Not Done
169,EarlySuccessional,169,-78.35533804,41.26130028,Done
170,EarlySuccessional,170,-78.67820096,41.30917153,Done
171,EarlySuccessional,171,-78.05598199,41.22571665,Done
172,EarlySuccessional,172,-77.82652669,41.19291822,Done
173,EarlySuccessional,173,-77.05814784,41.08314421,Done
174,EarlySuccessional,174,-78.76536097,41.33087144,Done
175,EarlySuccessional,175,-79.21737416,41.41112112,Done
176,EarlySuccessional,176,-79.49016938,41.45015981,Done
177,EarlySuccessional,177,-78.84092934,41.36401297,Done
178,EarlySuccessional,178,-77.85065184,41.23568958,Done
179,EarlySuccessional,179,-77.98587281,41.25830847,Not Done
180,EarlySuccessional,180,-78.33828007,41.31127455,Done
181,EarlySuccessional,181,-77.72931407,41.24440899,Done
182,EarlySuccessional,182,-79.21951842,41.45714391,Done
183,EarlySuccessional,183,-77.97788163,41.3062875,Done
184,EarlySuccessional,184,-79.32965662,41.49451629,Done
185,EarlySuccessional,185,-79.46080023,41.51818513,Not Done
186,EarlySuccessional,186,-78.91230455,41.46845405,Done
187,EarlySuccessional,187,-77.39057687,41.25723629,Done
188,EarlySuccessional,188,-79.09423259,41.51895247,Done
189,EarlySuccessional,189,-78.75495772,41.47987033,Positive
190,EarlySuccessional,190,-78.11835271,41.39496723,Done
191,EarlySuccessional,191,-78.84313304,41.49835724,Done
192,EarlySuccessional,192,-79.17443783,41.55247236,Positive
193,EarlySuccessional,193,-78.39686654,41.46340873,Done
194,EarlySuccessional,194,-78.71562528,41.51376503,Done
195,EarlySuccessional,195,-77.47407577,41.34162341,Done
196,EarlySuccessional,196,-78.23495105,41.45719556,Done
197,EarlySuccessional,197,-77.6256579,41.38667022,Done
198,EarlySuccessional,198,-78.1636685,41.47665255,Done
199,EarlySuccessional,199,-78.66691476,41.54964558,Not Done
200,EarlySuccessional,200,-79.12253167,41.62075869,Done
201,EarlySuccessional,201,-78.36537199,41.51794128,Not Done
202,EarlySuccessional,202,-75.83202082,41.14234935,Positive
203,EarlySuccessional,203,-79.59268591,41.68874867,Done
204,EarlySuccessional,204,-75.59511189,41.12059656,Not Done
205,EarlySuccessional,205,-75.75470786,41.14967215,Done
