ForestType,TransectID,CoordX,CoordY,Permission
Forested,1,-78.118122090000000,41.034859290000000,Not Done
Forested,2,-78.494993170000001,41.090988269999997,Done
Forested,3,-78.363898550000002,41.105451639999998,Not Done
Forested,4,-79.472892220000006,41.281380810000002,Not Done
Forested,5,-77.759268770000006,41.045649779999998,Done
Forested,6,-78.222650750000000,41.124903539999998,Not Done
Forested,7,-78.748201629999997,41.204294560000001,Done
Forested,8,-79.040470569999997,41.250344550000001,Not Done
Forested,9,-78.024138870000002,41.109879350000000,Not Done
Forested,10,-77.889339640000003,41.103698450000003,Not Done
Forested,11,-78.610012929999996,41.211525219999999,Done
Forested,12,-78.904544470000005,41.284353260000003,Done
Forested,13,-78.414653849999993,41.253201429999997,Done
Forested,14,-78.741780980000001,41.301503580000002,Not Done
Forested,15,-77.716014229999999,41.160584280000002,Not Done
Forested,16,-77.258914980000000,41.106604799999999,Done
Forested,17,-79.215389560000006,41.401057549999997,Not Done
Forested,18,-79.090013909999996,41.390941020000000,Done
Forested,19,-76.621453110000004,41.036371629999998,Not Done
Forested,20,-78.225738179999993,41.285699420000000,Done
Forested,21,-77.566902940000006,41.191321369999997,Done
Forested,22,-76.939490910000004,41.098052950000003,Not Done
Forested,23,-78.822674570000004,41.384425759999999,Done
Forested,24,-77.895250770000004,41.284662040000001,Done
Forested,25,-77.057935860000001,41.165120289999997,Done
Forested,26,-76.130613800000006,41.025477420000001,Not Done
Forested,27,-77.730482409999993,41.290443789999998,Done
Forested,28,-78.649091060000003,41.426192039999997,Not Done
Forested,29,-78.042906740000006,41.345001519999997,Done
Forested,30,-77.273378600000001,41.233354890000001,Not Done
Forested,31,-78.357413339999994,41.392477110000002,Done
Forested,32,-79.407430840000004,41.556956540000002,Done
Forested,33,-78.834213300000002,41.480803389999998,Positive
Forested,34,-76.861818679999999,41.204418459999999,Not Done
Forested,35,-76.273305719999996,41.113660950000003,Done
Forested,36,-75.981732440000002,41.067606099999999,Done
Forested,37,-77.458643640000005,41.300024430000001,Not Done
Forested,38,-76.533862130000003,41.160773130000003,Not Done
Forested,39,-79.094664850000001,41.535350770000001,Done
Forested,40,-78.150829909999999,41.406094740000000,Done
Forested,41,-78.947683810000001,41.522246129999999,Done
Forested,42,-77.826377120000004,41.379603050000000,Done
Forested,43,-79.271089810000007,41.591364720000001,Done
Forested,44,-75.265518529999994,41.023842670000001,Not Done
Forested,45,-78.724865690000001,41.547727299999998,Done
Forested,46,-76.608618059999998,41.241256489999998,Not Done
Forested,47,-77.985327630000000,41.448163299999997,Done
Forested,48,-77.657220809999998,41.401078769999998,Done
Forested,49,-77.248772709999997,41.341204730000001,Not Done
Forested,50,-75.625419859999994,41.092603449999999,Not Done
Forested,51,-75.838977580000005,41.133596599999997,Positive
Forested,52,-79.574769790000005,41.689706020000003,Not Done
Forested,53,-77.369580799999994,41.385290939999997,Done
Forested,54,-78.959416730000001,41.618625639999998,Done
Forested,55,-78.287936669999993,41.526797260000002,Not Done
Forested,56,-77.136489229999995,41.380267179999997,Done
Forested,57,-78.821217079999997,41.622922600000003,Done
Forested,58,-79.436227680000002,41.714233069999999,Done
Forested,59,-79.110220200000001,41.671420099999999,Done
Forested,60,-75.725342409999996,41.174554700000002,Not Done
Forested,61,-76.075551809999993,41.233727139999999,Not Done
Forested,62,-78.118568460000006,41.548884850000000,Done
Forested,63,-77.814670410000005,41.508966600000001,Done
Forested,64,-75.411424100000005,41.143325679999997,Not Done
Forested,65,-76.669669630000001,41.355699629999997,Done
Forested,66,-77.481350660000004,41.480375760000001,Done
Forested,67,-76.868481310000007,41.389229819999997,Done
Forested,68,-76.482008780000001,41.330127099999999,Done
Forested,69,-78.492618370000002,41.627172510000001,Done
Forested,70,-76.221282880000004,41.312548620000001,Done
Forested,71,-79.508092430000005,41.821547090000003,Not Done
Forested,72,-77.960602530000003,41.611692910000002,Done
Forested,73,-78.781707139999995,41.728779729999999,Done
Forested,74,-78.976688080000002,41.764793990000001,Done
Forested,75,-78.286665880000001,41.670654589999998,Done
Forested,76,-79.129689170000006,41.791672460000001,Done
Forested,77,-77.088576660000001,41.507635260000001,Not Done
Forested,78,-75.594056030000004,41.275109819999997,Not Done
Forested,79,-75.040422680000006,41.184151170000000,Not Done
Forested,80,-77.615688840000004,41.591711349999997,Done
Forested,81,-77.329804490000001,41.549960040000002,Done
Forested,82,-76.549829610000003,41.435846450000000,Done
Forested,83,-78.122653459999995,41.670621320000002,Done
Forested,84,-75.912259010000000,41.339360880000001,Done
Forested,85,-79.359906289999998,41.848053479999997,Not Done
Forested,86,-76.291376009999993,41.408961980000001,Done
Forested,87,-76.694133339999993,41.490791029999997,Done
Forested,88,-77.789398090000006,41.656069690000002,Done
Forested,89,-77.485226900000001,41.615367960000000,Done
Forested,90,-78.466039589999994,41.767507670000001,Positive
Forested,91,-76.157475009999999,41.427455139999999,Positive
Forested,92,-75.347000710000003,41.300709089999998,Not Done
Forested,93,-77.189928399999999,41.591616920000000,Not Done
Forested,94,-78.013793820000004,41.714226109999998,Done
Forested,95,-78.342795890000005,41.763572650000000,Positive
Forested,96,-75.635980799999999,41.374045670000001,Done
Forested,97,-78.902953569999994,41.866113390000002,Positive
Forested,98,-75.070223650000003,41.291268359999997,Done
Forested,99,-75.881605140000005,41.429874460000001,Done
Forested,100,-79.470556790000003,41.960444090000003,Not Done
Forested,101,-78.575294310000004,41.844675029999998,Not Done
Forested,102,-76.721564590000000,41.583638340000000,Done
Forested,103,-75.975918609999994,41.487614700000002,Not Done
Forested,104,-76.387473170000007,41.555357280000003,Not Done
Forested,105,-76.936300259999996,41.642367800000002,Done
Forested,106,-76.226460779999996,41.543461899999997,Not Done
Forested,107,-77.086498489999997,41.677966769999998,Done
Forested,108,-77.823032100000006,41.798520359999998,Done
Forested,109,-77.519973890000003,41.767983170000001,Done
Forested,110,-79.027786100000000,41.990685720000002,Not Done
Forested,111,-76.551994179999994,41.649716390000002,Not Done
Forested,112,-78.636573940000005,41.954476339999999,Done
Forested,113,-74.723400780000006,41.365043450000002,Not Done
Forested,114,-75.242254660000000,41.458096279999999,Not Done
Forested,115,-74.916087750000003,41.404016519999999,Done
Forested,116,-77.932449779999999,41.873074160000002,Not Done
Forested,117,-78.765186869999994,41.991525969999998,Done
Forested,118,-76.920522509999998,41.731921720000003,Done
Forested,119,-76.155341199999995,41.621112089999997,Done
Forested,120,-78.198759609999996,41.926908990000001,Not Done
Forested,121,-78.322536700000001,41.947390050000003,Done
Forested,122,-78.501486270000001,41.978588160000001,Not Done
Forested,123,-77.366963540000000,41.824383040000001,Done
Forested,124,-75.117418420000007,41.473756969999997,Not Done
Forested,125,-78.026565680000004,41.938800890000003,Not Done
Forested,126,-75.956232159999999,41.632526679999998,Done
Forested,127,-75.796617589999997,41.630202060000002,Not Done
Forested,128,-76.503181240000004,41.744088689999998,Done
Forested,129,-76.641442560000002,41.775093929999997,Done
Forested,130,-77.747954140000004,41.948400190000001,Done
Forested,131,-76.987658659999994,41.843758010000002,Not Done
Forested,132,-77.543763999999996,41.928845160000002,Done
Forested,133,-75.485403329999997,41.613078950000002,Not Done
Forested,134,-77.254833390000002,41.893227969999998,Not Done
Forested,135,-77.374076000000002,41.963211659999999,Not Done
Forested,136,-76.125383420000006,41.787435150000000,Not Done
Forested,137,-75.683469970000004,41.727318410000002,Positive
Forested,138,-75.312282030000006,41.700205400000002,Done
Forested,139,-76.356232019999993,41.869370420000003,Not Done
Forested,140,-75.147827620000001,41.683120889999998,Not Done
Forested,141,-76.889389089999995,41.973531309999998,Not Done
Forested,142,-76.190149190000000,41.919244390000003,Done
Forested,143,-75.402815300000000,41.800611210000000,Done
Forested,144,-76.326390829999994,41.989707369999998,Done
Forested,145,-75.169003009999997,41.805269099999997,Done
Forested,146,-75.883944040000003,41.927118219999997,Not Done
Forested,147,-76.025369880000000,41.979020589999998,Not Done
Forested,148,-75.743172299999998,41.934398170000001,Done
Forested,149,-75.296435000000002,41.901931050000002,Done
Forested,150,-75.423705850000005,41.985213809999998,Not Done
EarlySuccessional,151,-78.360468190000006,41.049357919999999,Done
EarlySuccessional,152,-78.488371939999993,41.099881889999999,Done
EarlySuccessional,153,-77.892009020000003,41.025494289999997,Not Done
EarlySuccessional,154,-78.471732520000003,41.166261009999999,Not Done
EarlySuccessional,155,-78.373976580000004,41.152660150000003,Done
EarlySuccessional,156,-78.685493850000000,41.208802650000003,Done
EarlySuccessional,157,-78.361210380000003,41.203225500000002,Not Done
EarlySuccessional,158,-78.136951310000001,41.184812839999999,Done
EarlySuccessional,159,-78.966161700000001,41.302461080000000,Done
EarlySuccessional,160,-79.045640030000001,41.319658680000003,Done
EarlySuccessional,161,-77.908564069999997,41.165398920000001,Done
EarlySuccessional,162,-78.268152319999999,41.222927179999999,Done
EarlySuccessional,163,-79.262957510000007,41.368141229999999,Not Done
EarlySuccessional,164,-79.454412669999996,41.396521849999999,Not Done
EarlySuccessional,165,-77.360597670000004,41.105288799999997,Done
EarlySuccessional,166,-77.275009909999994,41.095881759999997,Done
EarlySuccessional,167,-78.582576029999998,41.286240870000000,Done
EarlySuccessional,168,-79.148143460000000,41.369270829999998,Not Done
EarlySuccessional,169,-78.355338040000007,41.261300280000000,Done
EarlySuccessional,170,-78.678200959999998,41.309171530000000,Done
EarlySuccessional,171,-78.055981990000006,41.225716650000003,Done
EarlySuccessional,172,-77.826526689999994,41.192918220000003,Done
EarlySuccessional,173,-77.058147840000004,41.083144210000000,Done
EarlySuccessional,174,-78.765360970000003,41.330871440000003,Done
EarlySuccessional,175,-79.217374160000006,41.411121119999997,Done
EarlySuccessional,176,-79.490169379999998,41.450159810000002,Done
EarlySuccessional,177,-78.840929340000002,41.364012969999997,Done
EarlySuccessional,178,-77.850651839999998,41.235689579999999,Done
EarlySuccessional,179,-77.985872810000004,41.258308470000003,Not Done
EarlySuccessional,180,-78.338280069999996,41.311274550000000,Done
EarlySuccessional,181,-77.729314070000001,41.244408989999997,Done
