Site,Obs1,Obs2,Obs3,C,T,M,D,Snow1,Snow2,Snow3,Elevation,Min,Max,Snow
/*5r */,0,.,.,1,0,0,0,0,9,9,407,16.297081,33.865528,3.4;
/*60r */,0,.,.,1,0,0,0,1,9,9,469,17.765532,33.162186,3.5;
/*62r */,0,.,.,0,1,0,0,1,9,9,604,13.200979,31.016951,5.9;
/*63r */,1,.,.,0,1,0,0,1,9,9,592,16.822086,32.725121,3.8;
/*64r */,0,.,.,0,1,0,0,1,9,9,681,13.840116,30.964142,5.9;
/*65r */,1,.,.,0,1,0,0,1,9,9,469,16.324566,32.804634,4.8;
/*67r */,1,.,.,0,1,0,0,1,9,9,623,12.966167,31.016951,5.9;
/*68r */,0,.,.,0,0,0,1,1,9,9,494,15.271941,31.623037,6.2;
/*69r */,0,.,.,0,1,0,0,1,9,9,554,14.634123,31.623037,5.9;
/*70r */,0,.,.,0,1,0,0,1,9,9,683,15.344914,32.359482,4.3;
/*72r */,1,.,.,0,1,0,0,1,9,9,552,13.159836,31.016951,5.9;
/*73r */,0,.,.,0,0,0,1,0,9,9,476,16.722826,32.616238,3.8;
/*74r */,1,1,.,0,1,0,0,1,0,9,560,12.918332,31.016951,5.8;
/*75r */,1,.,.,0,1,0,0,1,9,9,545,14.856062,31.623037,4.9;
/*76r */,0,.,.,0,0,0,1,0,9,9,456,15.430491,31.623037,6.2;
/*77r */,1,1,.,0,1,0,0,1,0,9,527,15.616631,31.623037,5.5;
/*78r */,0,.,.,0,1,0,0,0,9,9,626,15.835521,31.623037,6.3;
/*79r */,1,.,.,0,1,0,0,1,9,9,468,15.299828,32.137432,4.7;
/*7r */,0,.,.,1,0,0,0,1,9,9,222,16.839508,33.403191,4.1;
/*81r */,0,.,.,0,0,0,1,0,9,9,520,17.554066,32.725121,3.5;
/*82r */,1,1,.,0,1,0,0,1,0,9,586,13.55492,31.491375,5.5;
/*83r */,0,.,.,0,1,0,0,1,9,9,483,15.971442,33.254456,4.6;
/*84r */,0,.,.,0,0,0,1,1,9,9,496,12.905369,31.491375,5.7;
/*85r */,0,.,.,0,0,0,1,1,9,9,520,14.278424,31.491375,5.7;
/*86r */,0,.,.,0,1,0,0,1,9,9,508,15.974751,32.804634,4.8;
/*88r */,0,.,.,0,1,0,0,0,9,9,620,16.996223,32.725121,3.6;
/*89r */,0,.,.,0,1,0,0,1,9,9,493,16.98028,32.139896,5.6;
/*8r */,0,.,.,0,0,0,1,0,9,9,445,16.749538,32.896103,3.7;
/*90r */,1,.,.,0,1,0,0,1,9,9,722,13.132181,32.328987,5.0;
/*91r */,0,.,.,0,1,0,0,1,9,9,436,11.836376,31.097649,5.8;
/*92r */,0,.,.,0,1,0,0,1,9,9,472,15.898441,33.254456,4.5;
/*93r */,0,.,.,0,0,0,1,1,9,9,538,15.639059,32.137432,4.2;
/*94r */,1,1,1,0,1,0,0,1,0,1,615,13.421677,31.491375,5.7;
/*95r */,1,.,.,0,1,0,0,0,9,9,356,13.471563,33.019409,4.8;
/*96r */,1,.,.,0,1,0,0,1,9,9,442,16.023027,32.269093,5.3;
/*99r */,0,.,.,0,1,0,0,1,9,9,580,12.820518,31.016951,5.9;
/*9r */,0,.,.,0,0,1,0,1,9,9,548,15.946848,33.347672,3.7;
