OBJECTID_1,Field1,SiteID,SiteID2,Latitude1,Longitude1,OBJECTID,Join_Count,TARGET_FID,Latitude,Longitude,Elevation,Index,sf1,sd1,dd1,bf1,PercF4500,PercES4500,PercES
32,32,31,31r,41.53368,-77.71222,32,1,32,41.53336003,-77.71086074,528.9447632,100902,128.7582397,62.12765503,-171.2421417,38.88293076,0.989877778,0.012488889,0
33,33,32,32r,41.10773,-78.41772,33,1,33,41.1062399,-78.41645183,536.9125977,3827,137.6356506,63.12132645,-171.3890076,38.23445892,0.943844444,0.013244444,0.020833333
34,34,32,32t,41.09983,-78.41728,34,1,34,41.09991902,-78.41804148,517.9560547,3356,132.2194366,61.24679947,-163.9909058,36.96580124,0.927188889,0.014422222,0
35,35,33,33r,41.24988,-76.56696,35,1,35,41.25112988,-76.56607315,368.7555542,70217,117.4495544,54.00493622,-154.1524048,35.88302231,0.539633333,0.011955556,0
36,36,34,34r,41.16937,-76.15389,36,1,36,41.1707325,-76.15547358,284.1000061,66109,96.33263397,57.06871414,-136.2915192,33.03664398,0.796044444,0.015644444,0
37,37,34,34t,41.17248,-76.15718,37,1,37,41.1707325,-76.15547358,284.1000061,66109,96.33263397,57.06871414,-136.2915192,33.03664398,0.796044444,0.015644444,0
38,38,35,35r,41.11258,-75.27378,38,1,38,41.1141629,-75.27401438,288.4748535,89540,108.3723602,54.48551178,-115.5807648,29.1756115,0.8836,0.0096,0.013888889
39,39,36,36r,41.08626,-76.40736,39,1,39,41.08561092,-76.40923508,198.6666718,38561,86.69782257,47.46485138,-118.295517,29.38294029,0.386366667,0.006444444,0.020833333
40,40,37,37r,41.99284,-76.4541,40,1,40,41.99307873,-76.45507081,293.817688,253325,105.276947,53.95793152,-155.1135559,36.15698624,0.572277778,0.024344444,0
41,41,37,37t,41.98993,-76.45403,41,1,41,41.98992834,-76.45596434,313.917572,252993,105.7527695,53.31994629,-161.1652985,37.15675354,0.580466667,0.023822222,0
42,42,38,38r,41.29328,-78.01237,42,1,42,41.29473538,-78.01174736,494.6318665,32209,121.8950424,57.65942383,-158.6530609,36.51733017,0.980133333,0.005988889,0
43,43,39,39r,41.45036,-75.73974,43,1,43,41.44972258,-75.73815284,476.9553223,162606,129.5457153,69.09344482,-170.0469513,39.63071823,0.571688889,0.021555556,0
44,44,40,40r,41.19385,-75.39909,44,1,44,41.19426172,-75.40077028,594.9176025,106048,145.3296204,74.66181946,-195.5391541,43.02135468,0.806888889,0.0258,0
45,45,41,41r,41.74478,-77.86342,45,1,45,41.74532665,-77.86363587,781.5444336,154664,177.253479,78.03554535,-244.3140869,50.51753235,0.955755556,0.015066667,0
46,46,41,41t,41.71975,-77.8872,46,1,46,41.71933567,-77.88819424,772.5543213,146245,175.9329987,78.74208069,-247.6012268,51.15255737,0.953588889,0.021688889,0
47,47,42,42r,41.35557,-76.24214,47,1,47,41.35495767,-76.24022879,688.1878662,113250,161.315506,77.02639008,-228.9558716,48.65520477,0.970955556,0.022377778,0
48,48,43,43r,41.17023,-76.38812,48,1,48,41.17124479,-76.38956712,264.1049805,57388,95.38825226,49.8353157,-121.7442398,30.13492775,0.455444444,0.010788889,0
49,49,44,44r,41.49437,-76.95359,49,1,49,41.49415995,-76.95483477,335.4861755,121453,107.3229523,49.15354156,-131.1902924,32.72369766,0.949022222,0.008366667,0.034722222
50,50,45,45r,41.31899,-78.59321,50,1,50,41.32020522,-78.59172255,588.065918,22217,142.2009735,68.89976501,-206.5665131,44.41227722,0.827644444,0.017077778,0
51,51,46,46r,41.47333,-75.92174,51,1,51,41.47256767,-75.92252191,322.2362671,160698,111.3250809,58.79872894,-141.5318146,34.88858795,0.621,0.033922222,0
52,52,46,46t,41.46621,-75.92478,52,1,52,41.46627789,-75.9243433,334.9505615,158836,115.1062012,60.32849121,-145.9640961,35.62915039,0.6255,0.027033333,0.020833333
53,53,47,47r,41.39257,-77.95817,53,1,53,41.39216845,-77.96006175,503.7150879,54057,118.2339249,61.76421738,-160.4442596,37.01623917,0.948233333,0.009611111,0
54,54,49,49r,41.42221,-76.56141,54,1,54,41.42140745,-76.56273906,584.7000122,117822,154.0693665,67.64229584,-211.4879456,45.65986633,0.944722222,0.0179,0
55,55,50,50r,41.46493,-77.50145,55,1,55,41.46393189,-77.50343815,294.8066406,89929,101.2434998,49.16355133,-122.0733719,30.67569733,0.977244444,0.006122222,0.104166667
56,56,51,51r,41.78241,-77.33779,56,1,56,41.78402376,-77.33780164,436.6703186,187842,92.52728271,54.76564407,-142.75,34.77410126,0.776,0.026477778,0
57,57,52,52r,41.89842,-76.65812,57,1,57,41.89884433,-76.65580828,500.582428,236670,118.4940567,61.11593628,-184.5351563,41.2648468,0.431311111,0.011866667,0
58,58,52,52t,41.90168,-76.65246,58,1,58,41.90134517,-76.65064527,512.9230957,237205,119.9263229,61.94498062,-189.7149658,42.09727478,0.420733333,0.011833333,0
59,59,53,53r,41.17602,-76.00268,59,1,59,41.17628931,-76.0035473,270.1499939,73888,92.66307068,54.80087662,-114.8322525,29.71029663,0.698011111,0.012011111,0.006944444
60,60,54,54r,41.30403,-76.41161,60,1,60,41.3025598,-76.41007593,453.6629944,91102,130.6162109,63.25959396,-172.2838287,38.94018173,0.951733333,0.002744444,0
61,61,55,55r,41.56503,-78.01932,61,1,61,41.56465197,-78.02153137,448.5027771,97158,123.523674,62.47102356,-169.361557,38.69045639,0.957455556,0.006955556,0
62,62,56,56r,41.85662,-75.66507,62,1,62,41.85581656,-75.6634803,469.0662842,252131,169.9053802,74.99787903,-198.8450623,43.38304138,0.719344444,0.0292,0.027777778
63,63,56,56t,41.86702,-75.66483,63,1,63,41.86593287,-75.66496573,521.4891357,253178,175.1831665,77.44665527,-200.0903168,43.63317871,0.744322222,0.028022222,0
64,64,58,58r,41.7448,-75.44711,64,1,64,41.74505463,-75.44617878,587.2651978,242519,169.3395691,82.89042664,-262.3951111,50.74240875,0.671388889,0.027188889,0
65,65,59,59r,41.60567,-76.17122,65,1,65,41.60737661,-76.17262286,370.8729248,188115,120.5900497,59.6126709,-151.7893829,36.60725021,0.644933333,0.036988889,0
66,66,60,60r,41.08869,-78.2895,66,1,66,41.08843067,-78.28907369,474.1436462,3857,121.5203857,60.16630554,-154.2996368,35.45544815,0.814411111,0.031955556,0.041666667
67,67,62,62r,41.9624,-78.68318,67,1,67,41.96089944,-78.68388263,562.6758423,183676,167.463501,79.51213837,-241.4836121,50.22587204,0.866577778,0.008255556,0
